Linux 2.6.18-164.el5 (peglinux1) 	06/05/2010

Time: 07:10:08 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.10    0.01    9.87    2.49    0.00   86.53

Device:         rrqm/s   wrqm/s   r/s   w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdy3              1.91     0.01  0.45 11.69    16.43   391.28    33.56     0.01    0.78   0.55   0.67
sdz               3.07     0.01  0.66 10.55    22.15   391.34    36.87     0.01    0.73   0.54   0.61
sdz3              1.91     0.01  0.39 10.53    15.55   391.24    37.23     0.01    0.74   0.55   0.60
sdaa              3.07     0.01  0.66 10.49    22.23   392.04    37.14     0.01    0.74   0.56   0.63
sdaa3             1.91     0.01  0.39 10.47    15.64   391.94    37.50     0.01    0.75   0.57   0.62
sdab              3.09     0.01  0.72 12.46    22.93   388.02    31.17     0.01    0.82   0.56   0.74
sdab3             1.92     0.01  0.45 12.44    16.34   387.92    31.35     0.01    0.83   0.56   0.73
sdac              3.06     0.02  0.71 11.92    22.47   389.89    32.65     0.01    0.74   0.54   0.68
sdac3             1.90     0.02  0.43 11.91    15.88   389.79    32.88     0.01    0.75   0.55   0.68
sdad              3.05     0.02  0.67 10.92    22.09   394.27    35.91     0.01    0.74   0.55   0.64
sdad3             1.89     0.02  0.40 10.91    15.50   394.17    36.25     0.01    0.75   0.55   0.62
sdae              3.08     0.02  0.67 10.68    22.50   394.32    36.72     0.01    0.72   0.54   0.61
sdae3             1.91     0.02  0.40 10.66    15.91   394.22    37.07     0.01    0.73   0.54   0.60
sdaf              3.09     0.02  0.72 12.86    22.70   389.07    30.32     0.01    0.74   0.53   0.72
sdaf3             1.92     0.02  0.45 12.84    16.11   388.97    30.47     0.01    0.75   0.54   0.72
sdag              3.07     0.01  0.70 12.16    22.77   391.62    32.21     0.01    0.70   0.52   0.66
sdag3             1.91     0.01  0.43 12.14    16.17   391.52    32.42     0.01    0.71   0.52   0.66
sdah              3.20     0.01  0.68 10.74    22.43   392.47    36.33     0.01    0.70   0.52   0.60
sdah3             2.04     0.01  0.40 10.73    15.84   392.37    36.68     0.01    0.71   0.53   0.59
sdai              3.08     0.01  0.70 10.59    23.29   392.05    36.81     0.01    0.78   0.56   0.63
sdai3             1.92     0.01  0.42 10.57    16.70   391.95    37.18     0.01    0.79   0.57   0.63
sdaj              3.05     0.03  0.71 12.70    22.31   451.88    35.36     0.01    0.66   0.50   0.67
sdaj3             1.88     0.03  0.43 12.69    15.72   451.78    35.64     0.01    0.66   0.51   0.66
sdak              3.04     0.02  0.72 11.79    22.46   392.11    33.14     0.01    0.73   0.53   0.66
sdak3             1.88     0.02  0.44 11.77    15.86   392.01    33.39     0.01    0.74   0.54   0.66
sdal              3.06     0.01  0.67 10.93    22.31   434.59    39.37     0.01    0.63   0.48   0.56
sdal3             1.90     0.01  0.40 10.92    15.71   434.49    39.77     0.01    0.63   0.49   0.55
sdam              3.21     0.01  0.70 10.92    22.77   395.88    36.01     0.01    0.66   0.51   0.59
sdam3             2.05     0.01  0.43 10.91    16.17   395.78    36.33     0.01    0.67   0.51   0.58
sdan              3.05     0.02  0.74 12.33    23.11   394.62    31.97     0.01    0.67   0.49   0.65
sdan3             1.89     0.02  0.47 12.31    16.52   394.52    32.17     0.01    0.68   0.50   0.64
sdao              3.07     0.03  0.71 11.91    22.57   439.23    36.61     0.01    0.66   0.51   0.64
sdao3             1.91     0.03  0.43 11.89    15.98   439.12    36.93     0.01    0.67   0.51   0.63
sdap              3.05     0.02  0.69 10.76    22.13   390.75    36.07     0.01    0.66   0.51   0.58
sdap3             1.88     0.02  0.42 10.74    15.54   390.65    36.40     0.01    0.67   0.51   0.57
sdaq              3.05     0.01  0.68 10.70    22.45   392.19    36.46     0.01    0.63   0.50   0.57
sdaq3             1.88     0.01  0.41 10.68    15.85   392.09    36.80     0.01    0.64   0.50   0.56
sdar              3.05     0.02  0.74 12.44    22.82   387.66    31.13     0.01    0.65   0.51   0.67
sdar3             1.89     0.02  0.47 12.43    16.22   387.56    31.31     0.01    0.66   0.51   0.66
sdas              3.22     0.01  0.71 11.78    22.76   395.44    33.47     0.01    0.73   0.51   0.64
sdas3             2.05     0.01  0.44 11.76    16.17   395.34    33.71     0.01    0.74   0.51   0.63
sdat              3.05     0.01  0.70 10.93    22.53   394.23    35.84     0.01    0.65   0.49   0.57
sdat3             1.88     0.01  0.43 10.92    15.94   394.13    36.15     0.01    0.66   0.50   0.56
sdau              3.06     0.01  0.70 11.09    22.56   392.75    35.23     0.01    0.66   0.50   0.59
sdau3             1.90     0.01  0.42 11.07    15.97   392.65    35.55     0.01    0.67   0.51   0.58
sdav              3.07     0.01  0.71 12.52    22.87   392.06    31.37     0.01    0.61   0.47   0.63
sdav3             1.91     0.01  0.44 12.50    16.28   391.96    31.54     0.01    0.61   0.48   0.61
sdaw              3.06     0.01  0.71 12.11    22.51   390.28    32.20     0.01    0.67   0.48   0.61
sdaw3             1.91     0.01  0.43 12.09    15.91   390.18    32.43     0.01    0.67   0.48   0.60
sdax              3.08     0.01  0.67 10.93    22.70   391.40    35.69     0.01    0.63   0.48   0.56
sdax3             1.91     0.01  0.40 10.91    16.10   391.30    36.01     0.01    0.64   0.49   0.55
sday              3.05     0.02  0.68 10.65    22.70   391.43    36.57     0.01    0.66   0.51   0.57
sday3             1.89     0.02  0.40 10.63    16.10   391.33    36.92     0.01    0.67   0.51   0.57
sdaz              3.06     0.03  0.73 12.03    22.68   456.24    37.52     0.01    0.74   0.54   0.69
sdaz3             1.89     0.03  0.46 12.02    16.09   456.14    37.85     0.01    0.75   0.55   0.68
sdba              3.07     0.02  0.70 11.03    22.73   393.62    35.51     0.01    0.71   0.53   0.62
sdba3             1.92     0.02  0.42 11.01    16.14   393.52    35.85     0.01    0.71   0.54   0.62
sdbb              3.21     0.01  0.71 10.59    22.79   398.70    37.31     0.01    0.69   0.53   0.60
sdbb3             2.05     0.01  0.43 10.58    16.20   398.60    37.69     0.01    0.70   0.54   0.59
sdbc              3.06     0.01  0.68 10.27    22.41   396.17    38.22     0.01    0.71   0.56   0.61
sdbc3             1.90     0.01  0.40 10.26    15.81   396.07    38.64     0.01    0.72   0.57   0.61
sdbd              3.06     0.02  0.71 11.97    22.64   390.81    32.60     0.01    0.73   0.53   0.67
sdbd3             1.90     0.02  0.44 11.95    16.04   390.71    32.83     0.01    0.74   0.53   0.66
sdbe              3.07     0.01  0.71 11.26    22.78   391.43    34.61     0.01    0.73   0.55   0.65
sdbe3             1.90     0.01  0.44 11.24    16.18   391.33    34.88     0.01    0.74   0.55   0.64
sdbf              3.06     0.01  0.67 10.23    21.97   392.87    38.08     0.01    0.73   0.55   0.60
sdbf3             1.90     0.01  0.39 10.21    15.38   392.77    38.49     0.01    0.74   0.56   0.59
sdbg              3.07     0.01  0.71 10.09    23.17   396.31    38.86     0.01    0.74   0.57   0.62
sdbg3             1.91     0.01  0.43 10.07    16.58   396.20    39.33     0.01    0.75   0.58   0.60
sdbh              3.06     0.02  0.71 11.80    22.45   428.34    36.02     0.01    0.78   0.55   0.69
sdbh3             1.90     0.02  0.44 11.79    15.86   428.24    36.32     0.01    0.79   0.55   0.68
sdbi              3.10     0.01  0.70 11.01    23.06   390.70    35.35     0.01    0.72   0.55   0.64
sdbi3             1.93     0.01  0.43 10.99    16.47   390.60    35.65     0.01    0.73   0.56   0.63
sdbj              3.08     0.01  0.68 10.45    22.58   394.51    37.48     0.01    0.69   0.55   0.61
sdbj3             1.92     0.01  0.40 10.43    15.99   394.41    37.87     0.01    0.70   0.55   0.60
sdbk              3.05     0.02  0.67 10.21    22.44   395.56    38.41     0.01    0.78   0.56   0.61
sdbk3             1.88     0.02  0.40 10.20    15.85   395.46    38.83     0.01    0.79   0.57   0.60
sdbl              3.05     0.03  0.70 11.87    22.37   390.69    32.87     0.01    0.79   0.51   0.64
sdbl3             1.89     0.03  0.42 11.85    15.78   390.59    33.10     0.01    0.80   0.51   0.63
sdbm              3.06     0.02  0.70 11.39    23.06   392.40    34.36     0.01    0.69   0.51   0.62
sdbm3             1.90     0.02  0.42 11.37    16.47   392.29    34.65     0.01    0.69   0.52   0.61
sdbn              3.06     0.01  0.67 10.29    22.61   392.63    37.88     0.01    0.71   0.53   0.58
sdbn3             1.90     0.01  0.39 10.28    16.02   392.53    38.29     0.01    0.71   0.53   0.56
sdbo              3.05     0.02  0.69 10.03    22.74   392.24    38.74     0.01    0.72   0.55   0.59
sdbo3             1.89     0.02  0.41 10.01    16.15   392.14    39.19     0.01    0.73   0.55   0.58
sdbp              1.24     0.00  0.23  0.00     5.95     0.00    26.08     0.00    1.55   1.11   0.03
sdbq              1.24     0.00  0.23  0.00     5.95     0.00    25.82     0.00    1.63   1.13   0.03
sdbr              1.25     0.00  0.23  0.00     6.01     0.00    25.92     0.00    1.51   1.05   0.02
sdbs              1.24     0.00  0.23  0.00     5.95     0.00    26.17     0.00    1.43   1.02   0.02
sdbt              1.25     0.00  0.23  0.00     5.95     0.00    26.34     0.00    1.57   1.09   0.02
sdbu              1.24     0.00  0.23  0.00     5.95     0.00    25.66     0.00    1.86   1.32   0.03
sdbv              1.24     0.00  0.23  0.00     5.95     0.00    25.57     0.00    1.51   1.03   0.02
sdbw              1.25     0.00  0.23  0.00     5.95     0.00    26.34     0.00    1.62   1.15   0.03
sdbx              1.24     0.00  0.23  0.00     5.95     0.00    25.99     0.00    1.59   1.11   0.03
sdby              1.24     0.00  0.23  0.00     5.95     0.00    25.66     0.00    1.51   1.05   0.02
sdbz              1.24     0.00  0.23  0.00     5.95     0.00    26.08     0.00    1.45   1.03   0.02
sdca              1.25     0.00  0.23  0.00     5.97     0.00    26.18     0.00    1.58   1.14   0.03
sdcb              1.24     0.00  0.23  0.00     5.95     0.00    26.17     0.00    1.68   1.10   0.03
sdcc              1.25     0.00  0.23  0.00     5.95     0.00    26.25     0.00    1.60   1.12   0.03
sdcd              1.24     0.00  0.23  0.00     5.95     0.00    25.82     0.00    1.59   1.11   0.03
dm-0              0.00     0.00  0.01  0.00     0.08     0.00     8.00     0.00    1.36   1.36   0.00
VxVM10            0.00     0.22  8.80 674.29   114.88 18543.98    27.32     0.48    0.70   0.19  12.99

Time: 07:10:38 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.03    0.00    3.04    1.51    0.00   95.42

Device:         rrqm/s   wrqm/s   r/s   w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda1              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda2              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda3              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda4              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda5              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda6              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda7              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda8              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdb               0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdb1              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdb2              0.00     0.00  0.00  0.00     0.00     0.00     0.00 614891469123650.75    0.00   0.00 100.01
sdb3              0.00     0.00  0.00  0.00     0.00     0.00     0.00     1.00    0.00   0.00 100.01
sdc               0.97     7.50  0.90  2.93    35.73    83.47    31.10     0.15   39.99   3.32   1.27
sdc1              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdc2              0.97     1.63  0.87  2.03    35.47    29.33    22.34     0.13   45.52   3.52   1.02
sdc3              0.00     5.87  0.03  0.90     0.27    54.13    58.29     0.02   22.82   4.36   0.41
sdc4              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdc5              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdd               0.00     0.00  0.37  6.23     3.33    65.07    10.36     0.01    1.01   0.99   0.65
sdd3              0.00     0.00  0.37  6.23     3.33    65.07    10.36     0.01    1.01   0.99   0.65
sde               0.00     0.00  0.27  5.23     6.67    41.67     8.79     0.01    1.49   0.84   0.46
sde3              0.00     0.00  0.27  5.23     6.67    41.67     8.79     0.01    1.49   0.84   0.46
sdf               0.00     0.00  0.30  6.20     5.40    55.60     9.38     0.00    0.75   0.71   0.46
sdf3              0.00     0.00  0.30  6.20     5.40    55.60     9.38     0.00    0.75   0.71   0.46
sdg               0.00     0.00  0.57  6.30    10.60    66.60    11.24     0.01    1.15   0.67   0.46
sdg3              0.00     0.00  0.57  6.30    10.60    66.60    11.24     0.01    1.15   0.67   0.46
sdh               0.00     0.00  0.30  5.67     1.40    55.20     9.49     0.01    0.96   0.86   0.51
sdh3              0.00     0.00  0.30  5.67     1.40    55.20     9.49     0.01    0.96   0.86   0.51
sdi               0.00     0.00  0.20  6.10     2.80    61.27    10.17     0.00    0.40   0.39   0.24
sdi3              0.00     0.00  0.20  6.10     2.80    61.27    10.17     0.00    0.40   0.39   0.24
sdj               0.00     0.00  0.27  5.53     2.13    49.73     8.94     0.00    0.79   0.79   0.46
sdj3              0.00     0.00  0.27  5.53     2.13    49.73     8.94     0.00    0.79   0.79   0.46
sdk               0.00     0.00  0.13  6.10     0.93    59.60     9.71     0.00    0.34   0.30   0.19
sdk3              0.00     0.00  0.13  6.10     0.93    59.60     9.71     0.00    0.34   0.30   0.19
sdl               0.00     0.00  0.47  5.30     4.53    47.00     8.94     0.01    0.98   0.81   0.47
sdl3              0.00     0.00  0.47  5.30     4.53    47.00     8.94     0.01    0.98   0.81   0.47
sdm               0.00     0.00  0.17  3.33     0.73    45.80    13.30     0.00    0.41   0.41   0.14
sdm3              0.00     0.00  0.17  3.33     0.73    45.80    13.30     0.00    0.41   0.41   0.14
sdn               0.00     0.00  0.27  3.50     2.20    49.47    13.72     0.00    0.86   0.81   0.30
sdn3              0.00     0.00  0.27  3.50     2.20    49.47    13.72     0.00    0.86   0.81   0.30
sdo               0.00     0.00  0.37  4.20     3.93    66.13    15.34     0.01    1.09   1.02   0.47
sdo3              0.00     0.00  0.37  4.20     3.93    66.13    15.34     0.01    1.09   1.02   0.47
sdp               0.00     0.00  0.47  4.43     4.73    61.60    13.54     0.01    1.07   1.05   0.52
sdp3              0.00     0.00  0.47  4.43     4.73    61.60    13.54     0.01    1.07   1.05   0.52
sdq               0.00     0.00  0.43  5.23     8.67    78.60    15.40     0.00    0.84   0.70   0.40
sdq3              0.00     0.00  0.43  5.23     8.67    78.60    15.40     0.00    0.84   0.70   0.40
sdr               0.00     0.00  0.20  5.63     0.80    53.87     9.37     0.00    0.51   0.50   0.29
sdr3              0.00     0.00  0.20  5.63     0.80    53.87     9.37     0.00    0.51   0.50   0.29
sds               0.00     0.00  0.23  5.80     1.87    60.80    10.39     0.00    0.69   0.65   0.39
sds3              0.00     0.00  0.23  5.80     1.87    60.80    10.39     0.00    0.69   0.65   0.39
sdt               0.00     0.00  0.40  5.73     2.47    52.07     8.89     0.01    0.94   0.90   0.55
sdt3              0.00     0.00  0.40  5.73     2.47    52.07     8.89     0.01    0.94   0.90   0.55
sdu               0.00     0.00  0.43  5.27     7.13    50.33    10.08     0.00    0.84   0.79   0.45
