Linux 2.6.18-164.el5 (peglinux1) 	06/05/2010

Time: 07:10:08 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.10    0.01    9.87    2.49    0.00   86.53

Device:         rrqm/s   wrqm/s   r/s   w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdbf3             0.00     0.00  0.33  2.10     9.93    29.47    16.19     0.00    0.82   0.70   0.17
sdbg              0.00     0.00  0.37  2.07     5.60    30.73    14.93     0.01    2.58   1.96   0.48
sdbg3             0.00     0.00  0.37  2.07     5.60    30.73    14.93     0.01    2.58   1.96   0.48
sdbh              0.00     0.00  0.33  4.13     6.40    39.33    10.24     0.01    1.78   0.97   0.43
sdbh3             0.00     0.00  0.33  4.13     6.40    39.33    10.24     0.01    1.78   0.97   0.43
sdbi              0.00     0.00  0.33  4.60     6.27    40.47     9.47     0.01    1.26   1.15   0.57
sdbi3             0.00     0.00  0.33  4.60     6.27    40.47     9.47     0.01    1.26   1.15   0.57
sdbj              0.00     0.00  0.27  5.70     5.53    49.20     9.17     0.00    0.65   0.51   0.31
sdbj3             0.00     0.00  0.27  5.70     5.53    49.20     9.17     0.00    0.65   0.51   0.31
sdbk              0.00     0.00  0.13  4.83     3.20    42.53     9.21     0.00    0.90   0.64   0.32
sdbk3             0.00     0.00  0.13  4.83     3.20    42.53     9.21     0.00    0.90   0.64   0.32
sdbl              0.00     0.00  0.33  5.07     2.00    44.60     8.63     0.00    0.68   0.67   0.36
sdbl3             0.00     0.00  0.33  5.07     2.00    44.60     8.63     0.00    0.68   0.67   0.36
sdbm              0.00     0.00  0.33  4.83     4.60    48.20    10.22     0.00    0.88   0.82   0.42
sdbm3             0.00     0.00  0.33  4.83     4.60    48.20    10.22     0.00    0.88   0.82   0.42
sdbn              0.00     0.00  0.20  3.83     2.93    33.33     8.99     0.00    0.63   0.59   0.24
sdbn3             0.00     0.00  0.20  3.83     2.93    33.33     8.99     0.00    0.63   0.59   0.24
sdbo              0.03     0.00  0.13  4.07     1.80    32.80     8.24     0.00    0.86   0.80   0.34
sdbo3             0.03     0.00  0.13  4.07     1.80    32.80     8.24     0.00    0.86   0.80   0.34
sdbp              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbq              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbr              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbs              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbt              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbu              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbv              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbw              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbx              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdby              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbz              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdca              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdcb              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdcc              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdcd              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
VxVM10            0.00     0.00 19.70 263.03   284.93  2572.73    10.11     0.26    0.92   0.55  15.65

Time: 07:11:38 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.02    0.00    3.11    1.45    0.00   95.42

Device:         rrqm/s   wrqm/s   r/s   w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda1              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda2              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda3              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda4              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda5              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda6              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda7              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda8              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdb               0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdb1              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdb2              0.00     0.00  0.00  0.00     0.00     0.00     0.00 614891469123650.75    0.00   0.00 100.01
sdb3              0.00     0.00  0.00  0.00     0.00     0.00     0.00     1.00    0.00   0.00 100.01
sdc               0.00     6.07  0.00  1.53     0.00    60.80    39.65     0.02   16.13   4.11   0.63
sdc1              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdc2              0.00     0.73  0.00  0.57     0.00    10.40    18.35     0.01   17.29   5.41   0.31
sdc3              0.00     5.33  0.00  0.97     0.00    50.40    52.14     0.01   15.45   3.34   0.32
sdc4              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdc5              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdd               0.00     0.00  0.30  4.07     3.53    57.07    13.88     0.00    0.69   0.57   0.25
sdd3              0.00     0.00  0.30  4.07     3.53    57.07    13.88     0.00    0.69   0.57   0.25
sde               0.00     0.00  0.30  2.90     6.33    40.93    14.77     0.00    0.57   0.55   0.18
sde3              0.00     0.00  0.30  2.90     6.33    40.93    14.77     0.00    0.57   0.55   0.18
sdf               0.00     0.00  0.30  3.63     4.53    54.27    14.95     0.00    0.67   0.61   0.24
sdf3              0.00     0.00  0.30  3.63     4.53    54.27    14.95     0.00    0.67   0.61   0.24
sdg               0.00     0.00  0.30  3.57     2.73    57.27    15.52     0.00    0.86   0.84   0.33
sdg3              0.00     0.00  0.30  3.57     2.73    57.27    15.52     0.00    0.86   0.84   0.33
sdh               0.00     0.00  0.37  5.93     6.27    56.27     9.93     0.01    0.94   0.84   0.53
sdh3              0.00     0.00  0.37  5.93     6.27    56.27     9.93     0.01    0.94   0.84   0.53
sdi               0.00     0.00  0.23  6.23     6.60    65.13    11.09     0.00    0.52   0.44   0.28
sdi3              0.00     0.00  0.23  6.23     6.60    65.13    11.09     0.00    0.52   0.44   0.28
sdj               0.00     0.00  0.43  5.67     7.87    52.20     9.85     0.00    0.67   0.67   0.41
sdj3              0.00     0.00  0.43  5.67     7.87    52.20     9.85     0.00    0.67   0.67   0.41
sdk               0.00     0.00  0.63  5.60     9.13    57.00    10.61     0.00    0.76   0.70   0.44
sdk3              0.00     0.00  0.63  5.60     9.13    57.00    10.61     0.00    0.76   0.70   0.44
sdl               0.00     0.00  0.60  5.23     7.33    43.33     8.69     0.01    1.13   0.92   0.54
sdl3              0.00     0.00  0.60  5.23     7.33    43.33     8.69     0.01    1.13   0.92   0.54
sdm               0.00     0.00  0.17  6.37     1.27    62.27     9.72     0.00    0.45   0.41   0.27
sdm3              0.00     0.00  0.17  6.37     1.27    62.27     9.72     0.00    0.45   0.41   0.27
sdn               0.00     0.00  0.27  5.77     2.20    58.93    10.13     0.00    0.59   0.56   0.34
sdn3              0.00     0.00  0.27  5.77     2.20    58.93    10.13     0.00    0.59   0.56   0.34
sdo               0.00     0.00  0.10  6.10     1.13    61.80    10.15     0.00    0.67   0.65   0.40
sdo3              0.00     0.00  0.10  6.10     1.13    61.80    10.15     0.00    0.67   0.65   0.40
sdp               0.00     0.00  0.20  6.37     2.33    66.40    10.47     0.00    0.43   0.34   0.22
sdp3              0.00     0.00  0.20  6.37     2.33    66.40    10.47     0.00    0.43   0.34   0.22
sdq               0.00     0.00  0.63  5.03    10.53    78.80    15.76     0.01    1.05   0.91   0.51
sdq3              0.00     0.00  0.63  5.03    10.53    78.80    15.76     0.01    1.05   0.91   0.51
sdr               0.00     0.00  0.37  3.57     5.00    52.93    14.73     0.00    1.04   0.94   0.37
sdr3              0.00     0.00  0.37  3.57     5.00    52.93    14.73     0.00    1.04   0.94   0.37
sds               0.00     0.00  0.47  2.93    11.00    43.27    15.96     0.00    1.38   1.01   0.34
sds3              0.00     0.00  0.47  2.93    11.00    43.27    15.96     0.00    1.38   1.01   0.34
sdt               0.00     0.00  0.43  3.47     8.80    51.27    15.40     0.00    1.09   0.74   0.29
sdt3              0.00     0.00  0.43  3.47     8.80    51.27    15.40     0.00    1.09   0.74   0.29
sdu               0.00     0.00  0.23  3.07     5.53    42.07    14.42     0.00    1.00   0.99   0.33
sdu3              0.00     0.00  0.23  3.07     5.53    42.07    14.42     0.00    1.00   0.99   0.33
sdv               0.00     0.00  0.33  4.13     6.27    68.20    16.67     0.00    0.70   0.60   0.27
sdv3              0.00     0.00  0.33  4.13     6.27    68.20    16.67     0.00    0.70   0.60   0.27
sdw               0.00     0.00  0.47  5.23    11.07    70.80    14.36     0.00    0.74   0.54   0.31
sdw3              0.00     0.00  0.47  5.23    11.07    70.80    14.36     0.00    0.74   0.54   0.31
sdx               0.00     0.03  0.40  6.00     8.93    58.73    10.57     0.01    0.96   0.87   0.56
sdx3              0.00     0.03  0.40  6.00     8.93    58.73    10.57     0.01    0.96   0.87   0.56
sdy               0.00     0.00  0.27  6.93     7.27    69.07    10.60     0.00    0.54   0.47   0.34
sdy3              0.00     0.00  0.27  6.93     7.27    69.07    10.60     0.00    0.54   0.47   0.34
sdz               0.03     0.03  0.43  5.07    10.13    48.20    10.61     0.00    0.78   0.73   0.40
sdz3              0.03     0.03  0.43  5.07    10.13    48.20    10.61     0.00    0.78   0.73   0.40
sdaa              0.00     0.00  0.37  4.87     9.00    47.87    10.87     0.00    0.73   0.51   0.27
sdaa3             0.00     0.00  0.37  4.87     9.00    47.87    10.87     0.00    0.73   0.51   0.27
sdab              0.00     0.00  0.57  5.73     7.87    56.87    10.28     0.00    0.58   0.51   0.32
sdab3             0.00     0.00  0.57  5.73     7.87    56.87    10.28     0.00    0.58   0.51   0.32
sdac              0.00     0.00  0.17  6.23     2.40    62.87    10.20     0.00    0.44   0.41   0.26
sdac3             0.00     0.00  0.17  6.23     2.40    62.87    10.20     0.00    0.44   0.41   0.26
sdad              0.00     0.00  0.17  5.43     2.80    58.20    10.89     0.00    0.47   0.35   0.19
sdad3             0.00     0.00  0.17  5.43     2.80    58.20    10.89     0.00    0.47   0.35   0.19
sdae              0.00     0.00  0.57  6.93    11.00    76.47    11.66     0.01    1.17   0.60   0.45
sdae3             0.00     0.00  0.57  6.93    11.00    76.47    11.66     0.01    1.17   0.60   0.45
sdaf              0.03     0.00  0.40  6.23     5.20    61.00     9.98     0.00    0.72   0.65   0.43
sdaf3             0.03     0.00  0.40  6.23     5.20    61.00     9.98     0.00    0.72   0.65   0.43
sdag              0.00     0.00  0.33  4.27     5.87    64.33    15.26     0.00    0.72   0.61   0.28
sdag3             0.00     0.00  0.33  4.27     5.87    64.33    15.26     0.00    0.72   0.61   0.28
sdah              0.00     0.00  0.40  2.80     3.67    39.60    13.52     0.01    1.57   1.43   0.46
sdah3             0.00     0.00  0.40  2.80     3.67    39.60    13.52     0.01    1.57   1.43   0.46
sdai              0.00     0.00  0.47  3.50     9.40    49.53    14.86     0.00    0.92   0.68   0.27
sdai3             0.00     0.00  0.47  3.50     9.40    49.53    14.86     0.00    0.92   0.68   0.27
sdaj              0.00     0.00  0.43  3.33     8.67    46.47    14.64     0.00    1.10   0.92   0.35
sdaj3             0.00     0.00  0.43  3.33     8.67    46.47    14.64     0.00    1.10   0.92   0.35
sdak              0.00     0.00  0.27  3.43     7.07    48.53    15.03     0.00    0.88   0.81   0.30
sdak3             0.00     0.00  0.27  3.43     7.07    48.53    15.03     0.00    0.88   0.81   0.30
sdal              0.00     0.00  0.27  3.87     4.53    54.60    14.31     0.01    1.24   1.15   0.48
sdal3             0.00     0.00  0.27  3.87     4.53    54.60    14.31     0.01    1.24   1.15   0.48
sdam              0.00     0.00  0.33  6.63     4.80    71.53    10.96     0.01    0.90   0.69   0.48
sdam3             0.00     0.00  0.33  6.63     4.80    71.53    10.96     0.01    0.90   0.69   0.48
sdan              0.00     0.00  0.60  6.97    13.00    79.33    12.20     0.01    1.98   0.96   0.73
sdan3             0.00     0.00  0.60  6.97    13.00    79.33    12.20     0.01    1.98   0.96   0.73
sdao              0.00     0.00  0.20  5.83     5.27    53.87     9.80     0.00    0.43   0.40   0.24
sdao3             0.00     0.00  0.20  5.83     5.27    53.87     9.80     0.00    0.43   0.40   0.24
sdap              0.00     0.00  0.70  5.23    16.60    50.13    11.25     0.01    0.90   0.62   0.37
sdap3             0.00     0.00  0.70  5.23    16.60    50.13    11.25     0.01    0.90   0.62   0.37
sdaq              0.00     0.00  0.37  5.20    14.40    43.53    10.41     0.00    0.54   0.47   0.26
sdaq3             0.00     0.00  0.37  5.20    14.40    43.53    10.41     0.00    0.54   0.47   0.26
sdar              0.00     0.00  0.63  5.27     8.80    46.80     9.42     0.01    0.90   0.79   0.47
sdar3             0.00     0.00  0.63  5.27     8.80    46.80     9.42     0.01    0.90   0.79   0.47
sdas              0.00     0.00  0.57  5.47     6.27    47.00     8.83     0.01    1.41   0.97   0.59
sdas3             0.00     0.00  0.57  5.47     6.27    47.00     8.83     0.01    1.41   0.97   0.59
sdat              0.00     0.03  0.33  5.87     2.93    61.47    10.39     0.00    0.66   0.66   0.41
sdat3             0.00     0.03  0.33  5.87     2.93    61.47    10.39     0.00    0.66   0.66   0.41
sdau              0.00     0.00  0.53  6.47    13.00    58.00    10.14     0.00    0.60   0.51   0.36
sdau3             0.00     0.00  0.53  6.47    13.00    58.00    10.14     0.00    0.60   0.51   0.36
sdav              0.00     0.00  0.60  6.87     9.80    73.27    11.12     0.01    0.79   0.49   0.37
sdav3             0.00     0.00  0.60  6.87     9.80    73.27    11.12     0.01    0.79   0.49   0.37
sdaw              0.00     0.00  0.40  4.00     4.87    57.40    14.15     0.00    0.77   0.73   0.32
sdaw3             0.00     0.00  0.40  4.00     4.87    57.40    14.15     0.00    0.77   0.73   0.32
sdax              0.00     0.00  0.50  3.73     8.53    50.93    14.05     0.00    0.94   0.82   0.35
sdax3             0.00     0.00  0.50  3.73     8.53    50.93    14.05     0.00    0.94   0.82   0.35
sday              0.00     0.00  0.50  3.13    12.73    46.00    16.17     0.01    1.73   1.35   0.49
sday3             0.00     0.00  0.50  3.13    12.73    46.00    16.17     0.01    1.73   1.35   0.49
sdaz              0.03     0.00  0.23  2.90     5.27    44.67    15.94     0.00    0.74   0.63   0.20
sdaz3             0.03     0.00  0.23  2.90     5.27    44.67    15.94     0.00    0.74   0.63   0.20
sdba              0.00     0.00  0.33  3.17     5.93    49.27    15.77     0.00    1.06   1.01   0.35
sdba3             0.00     0.00  0.33  3.17     5.93    49.27    15.77     0.00    1.06   1.01   0.35
sdbb              0.00     0.00  0.20  3.90     4.67    57.07    15.06     0.00    0.87   0.67   0.28
sdbb3             0.00     0.00  0.20  3.90     4.67    57.07    15.06     0.00    0.87   0.67   0.28
sdbc              0.00     0.00  0.13  5.70     1.27    59.67    10.45     0.00    0.41   0.41   0.24
sdbc3             0.00     0.00  0.13  5.70     1.27    59.67    10.45     0.00    0.41   0.41   0.24
sdbd              0.03     0.00  0.77  5.97    18.13    59.47    11.52     0.01    0.82   0.60   0.41
sdbd3             0.03     0.00  0.77  5.97    18.13    59.47    11.52     0.01    0.82   0.60   0.41
sdbe              0.00     0.00  0.13  5.53     0.60    56.93    10.15     0.00    0.49   0.48   0.27
sdbe3             0.00     0.00  0.13  5.53     0.60    56.93    10.15     0.00    0.49   0.48   0.27
sdbf              0.00     0.00  0.67  5.37    17.80    51.80    11.54     0.01    0.89   0.53   0.32
sdbf3             0.00     0.00  0.67  5.37    17.80    51.80    11.54     0.01    0.89   0.53   0.32
sdbg              0.00     0.00  0.13  4.30     5.07    44.80    11.25     0.00    0.83   0.82   0.36
sdbg3             0.00     0.00  0.13  4.30     5.07    44.80    11.25     0.00    0.83   0.82   0.36
sdbh              0.00     0.00  0.57  5.67    12.67    48.53     9.82     0.01    0.84   0.65   0.41
sdbh3             0.00     0.00  0.57  5.67    12.67    48.53     9.82     0.01    0.84   0.65   0.41
sdbi              0.00     0.03  0.33  5.13     6.93    54.80    11.29     0.00    0.71   0.66   0.36
sdbi3             0.00     0.03  0.33  5.13     6.93    54.80    11.29     0.00    0.71   0.66   0.36
sdbj              0.00     0.00  0.27  5.73     5.60    59.80    10.90     0.00    0.66   0.39   0.23
sdbj3             0.00     0.00  0.27  5.73     5.60    59.80    10.90     0.00    0.66   0.39   0.23
sdbk              0.00     0.00  0.10  6.57     4.33    62.80    10.07     0.00    0.58   0.55   0.36
sdbk3             0.00     0.00  0.10  6.57     4.33    62.80    10.07     0.00    0.58   0.55   0.36
sdbl              0.00     0.00  0.37  6.67     6.33    75.30    11.61     0.01    1.19   0.68   0.48
sdbl3             0.00     0.00  0.37  6.67     6.33    75.30    11.61     0.01    1.19   0.68   0.48
sdbm              0.00     0.00  0.23  3.73     3.47    52.60    14.13     0.01    1.28   0.91   0.36
sdbm3             0.00     0.00  0.23  3.73     3.47    52.60    14.13     0.01    1.28   0.91   0.36
sdbn              0.00     0.00  0.20  2.80     4.87    41.67    15.51     0.00    0.89   0.58   0.17
sdbn3             0.00     0.00  0.20  2.80     4.87    41.67    15.51     0.00    0.89   0.58   0.17
sdbo              0.00     0.00  0.53  2.77    11.53    40.93    15.90     0.01    1.79   1.09   0.36
sdbo3             0.00     0.00  0.53  2.77    11.53    40.93    15.90     0.01    1.79   1.09   0.36
sdbp              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbq              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbr              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbs              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbt              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbu              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbv              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbw              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbx              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdby              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbz              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdca              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdcb              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdcc              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdcd              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
VxVM10            0.03     0.03 23.23 311.87   458.73  3579.67    12.05     0.29    0.86   0.50  16.76

Time: 07:12:08 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.02    0.00    2.59    1.23    0.00   96.17

Device:         rrqm/s   wrqm/s   r/s   w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda1              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda2              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda3              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda4              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda5              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda6              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda7              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda8              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdb               0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdb1              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdb2              0.00     0.00  0.00  0.00     0.00     0.00     0.00 614891469123650.75    0.00   0.00 100.00
sdb3              0.00     0.00  0.00  0.00     0.00     0.00     0.00     1.00    0.00   0.00 100.00
sdc               0.00     6.13  0.00  1.03     0.00    57.33    55.48     0.02   17.03   5.23   0.54
sdc1              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdc2              0.00     0.70  0.00  0.43     0.00     9.07    20.92     0.01   13.62   6.08   0.26
sdc3              0.00     5.43  0.00  0.60     0.00    48.27    80.44     0.01   19.50   4.61   0.28
sdc4              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdc5              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdd               0.00     0.00  0.30  5.27     2.67    41.87     8.00     0.00    0.87   0.85   0.47
sdd3              0.00     0.00  0.30  5.27     2.67    41.87     8.00     0.00    0.87   0.85   0.47
sde               0.00     0.00  0.40  4.53     6.73    32.13     7.88     0.00    0.53   0.49   0.24
sde3              0.00     0.00  0.40  4.53     6.73    32.13     7.88     0.00    0.53   0.49   0.24
sdf               0.00     0.00  0.20  4.97     2.07    51.07    10.28     0.00    0.57   0.54   0.28
sdf3              0.00     0.00  0.20  4.97     2.07    51.07    10.28     0.00    0.57   0.54   0.28
sdg               0.00     0.00  0.20  5.03     2.80    49.80    10.05     0.01    1.29   1.02   0.53
sdg3              0.00     0.00  0.20  5.03     2.80    49.80    10.05     0.01    1.29   1.02   0.53
sdh               0.00     0.00  0.13  4.67     1.27    41.67     8.94     0.00    0.63   0.62   0.30
sdh3              0.00     0.00  0.13  4.67     1.27    41.67     8.94     0.00    0.63   0.62   0.30
sdi               0.00     0.00  0.13  4.73     1.33    40.20     8.53     0.00    0.69   0.69   0.34
sdi3              0.00     0.00  0.13  4.73     1.33    40.20     8.53     0.00    0.69   0.69   0.34
sdj               0.00     0.00  0.10  4.50     1.20    42.73     9.55     0.00    0.28   0.28   0.13
sdj3              0.00     0.00  0.10  4.50     1.20    42.73     9.55     0.00    0.28   0.28   0.13
sdk               0.00     0.00  0.40  2.57     5.00    33.00    12.81     0.00    1.21   0.88   0.26
sdk3              0.00     0.00  0.40  2.57     5.00    33.00    12.81     0.00    1.21   0.88   0.26
sdl               0.00     0.00  0.20  3.23     2.13    42.13    12.89     0.00    0.76   0.70   0.24
sdl3              0.00     0.00  0.20  3.23     2.13    42.13    12.89     0.00    0.76   0.70   0.24
sdm               0.00     0.00  0.33  2.07     4.07    30.33    14.33     0.00    1.26   1.15   0.28
sdm3              0.00     0.00  0.33  2.07     4.07    30.33    14.33     0.00    1.26   1.15   0.28
sdn               0.00     0.00  0.33  3.23     9.60    45.47    15.44     0.00    1.11   0.80   0.29
sdn3              0.00     0.00  0.33  3.23     9.60    45.47    15.44     0.00    1.11   0.80   0.29
sdo               0.00     0.00  0.20  2.40     2.80    30.53    12.82     0.00    1.29   0.78   0.20
sdo3              0.00     0.00  0.20  2.40     2.80    30.53    12.82     0.00    1.29   0.78   0.20
sdp               0.00     0.00  0.33  2.63     4.40    34.67    13.17     0.01    2.09   1.34   0.40
sdp3              0.00     0.00  0.33  2.63     4.40    34.67    13.17     0.01    2.09   1.34   0.40
sdq               0.00     0.00  0.33  4.13     2.60    34.67     8.34     0.00    0.72   0.72   0.32
sdq3              0.00     0.00  0.33  4.13     2.60    34.67     8.34     0.00    0.72   0.72   0.32
sdr               0.00     0.00  0.13  5.27     0.87    49.47     9.32     0.00    0.43   0.42   0.23
sdr3              0.00     0.00  0.13  5.27     0.87    49.47     9.32     0.00    0.43   0.42   0.23
sds               0.00     0.00  0.33  4.53     7.20    34.00     8.47     0.00    0.50   0.43   0.21
sds3              0.00     0.00  0.33  4.53     7.20    34.00     8.47     0.00    0.50   0.43   0.21
sdt               0.00     0.00  0.37  3.87     4.67    39.13    10.35     0.00    0.98   0.92   0.39
sdt3              0.00     0.00  0.37  3.87     4.67    39.13    10.35     0.00    0.98   0.92   0.39
sdu               0.00     0.00  0.17  4.47     1.13    30.73     6.88     0.00    0.62   0.58   0.27
sdu3              0.00     0.00  0.17  4.47     1.13    30.73     6.88     0.00    0.62   0.58   0.27
sdv               0.00     0.00  0.23  3.83     1.47    25.67     6.67     0.00    1.13   1.11   0.45
sdv3              0.00     0.00  0.23  3.83     1.47    25.67     6.67     0.00    1.13   1.11   0.45
sdw               0.00     0.00  0.33  4.60     4.07    41.93     9.32     0.01    1.05   0.85   0.42
sdw3              0.00     0.00  0.33  4.60     4.07    41.93     9.32     0.01    1.05   0.85   0.42
sdx               0.00     0.00  0.23  4.10     1.60    29.73     7.23     0.00    0.82   0.78   0.34
sdx3              0.00     0.00  0.23  4.10     1.60    29.73     7.23     0.00    0.82   0.78   0.34
sdy               0.00     0.00  0.13  3.93     2.27    33.27     8.74     0.01    1.84   0.94   0.38
sdy3              0.00     0.00  0.13  3.93     2.27    33.27     8.74     0.01    1.84   0.94   0.38
sdz               0.00     0.00  0.20  4.17     1.07    31.80     7.53     0.00    0.76   0.74   0.32
sdz3              0.00     0.00  0.20  4.17     1.07    31.80     7.53     0.00    0.76   0.74   0.32
sdaa              0.00     0.00  0.13  2.53     1.20    31.47    12.25     0.00    0.42   0.39   0.10
sdaa3             0.00     0.00  0.13  2.53     1.20    31.47    12.25     0.00    0.42   0.39   0.10
sdab              0.00     0.00  0.17  2.30     1.07    32.47    13.59     0.00    0.91   0.89   0.22
sdab3             0.00     0.00  0.17  2.30     1.07    32.47    13.59     0.00    0.91   0.89   0.22
sdac              0.00     0.00  0.30  2.47     2.87    28.07    11.18     0.00    0.82   0.73   0.20
sdac3             0.00     0.00  0.30  2.47     2.87    28.07    11.18     0.00    0.82   0.73   0.20
sdad              0.00     0.00  0.47  3.17    14.40    38.07    14.44     0.00    1.06   0.78   0.28
sdad3             0.00     0.00  0.47  3.17    14.40    38.07    14.44     0.00    1.06   0.78   0.28
sdae              0.00     0.00  0.10  2.40     1.20    31.33    13.01     0.00    0.92   0.89   0.22
sdae3             0.00     0.00  0.10  2.40     1.20    31.33    13.01     0.00    0.92   0.89   0.22
sdaf              0.00     0.00  0.27  2.43     4.60    30.87    13.14     0.00    0.79   0.58   0.16
sdaf3             0.00     0.00  0.27  2.43     4.60    30.87    13.14     0.00    0.79   0.58   0.16
sdag              0.00     0.00  0.20  4.20     1.67    36.33     8.64     0.00    0.83   0.83   0.36
