Linux 2.6.18-164.el5 (redhat1.vxindia.veritas.com) 	07/10/2010 	_x86_64_	(1 CPU)

01:40:01 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
01:45:31 PM       0      0.10     32.40     19.26     48.24      0.00      0.00      0.00      0.00      0.00
01:45:41 PM     all      0.20     34.24     18.17     47.19      0.00      0.10      0.10      0.00      0.00
01:45:41 PM       0      0.20     34.24     18.17     47.19      0.00      0.10      0.10      0.00      0.00
01:45:51 PM     all      0.10     32.97     19.04     47.90      0.00      0.00      0.00      0.00      0.00
01:45:51 PM       0      0.10     32.97     19.04     47.90      0.00      0.00      0.00      0.00      0.00
01:46:01 PM     all      0.20     35.11     20.76     43.63      0.00      0.10      0.20      0.00      0.00
01:46:01 PM       0      0.20     35.11     20.76     43.63      0.00      0.10      0.20      0.00      0.00
01:46:11 PM     all      0.10     34.55     19.60     45.66      0.00      0.10      0.00      0.00      0.00
01:46:11 PM       0      0.10     34.55     19.60     45.66      0.00      0.10      0.00      0.00      0.00
01:46:21 PM     all      0.10     33.74     19.54     46.53      0.00      0.00      0.10      0.00      0.00
01:46:21 PM       0      0.10     33.74     19.54     46.53      0.00      0.00      0.10      0.00      0.00
01:46:31 PM     all      0.20     43.17     24.97     31.45      0.00      0.10      0.10      0.00      0.00
01:46:31 PM       0      0.20     43.17     24.97     31.45      0.00      0.10      0.10      0.00      0.00
01:46:41 PM     all      0.20     42.68     22.97     34.15      0.00      0.00      0.00      0.00      0.00
01:46:41 PM       0      0.20     42.68     22.97     34.15      0.00      0.00      0.00      0.00      0.00
01:46:51 PM     all      0.10     44.35     24.62     30.82      0.00      0.00      0.10      0.00      0.00
01:46:51 PM       0      0.10     44.35     24.62     30.82      0.00      0.00      0.10      0.00      0.00
01:47:01 PM     all      0.20     33.30     19.11     47.18      0.00      0.10      0.10      0.00      0.00
01:47:01 PM       0      0.20     33.30     19.11     47.18      0.00      0.10      0.10      0.00      0.00
01:47:11 PM     all      0.10     32.66     19.35     47.78      0.00      0.00      0.10      0.00      0.00
