
    r     b     w      avm    free   re   at    pi   po    fr   de    sr     in   syscalls    cs  us sy id
    1     0     0   124013  650670   53    7     0    0     0    0     0   1055   2587   137   0  0 100
    1     0     0   124013  650670   43    5     0    0     0    0     0   1048   2096   131   0  1 99
    1     0     0   124013  650670   34    4     0    0     0    0     0   1042   1704   124   0  0 100
    1     0     0   124013  650670   27    3     0    0     0    0     0   1038   1392   118   0  0 100
    1     0     0   124013  650670   37    2     0    0     0    0     0   1028   1864   124  15  2 83
    1     0     0   124013  650344   98   30     0    0     0    0     0   1038   3384   203  18  1 81
    1     0     0   124013  650340  114   38     0    0     0    0     0   1034   4500   232  12  2 86
    1     0     0   124013  650348  126   44     0    0     0    0     0   1028   4926   276  12  2 86
    1     0     0   137578  650484  136   49     0    0     0    0     0   1031   5270   302  12  1 87

    r     b     w      avm    free   re   at    pi   po    fr   de    sr     in   syscalls    cs  us sy id
    1     0     0   137578  650340  140   51     0    0     0    0     0   1033   5476   315  10  1 89
    1     0     0   137578  650607  139   53     0    0     0    0     0   1036   5435   297  12  0 88
    1     0     0   137578  650671  124   46     0    0     0    0     0   1037   4846   281   0  1 99
    1     0     0   137578  650670  100   36     0    0     0    0     0   1040   3904   243   0  0 100
    1     0     0   137578  650670   96   28     0    0     0    0     0   1035   3756   221  11  1 88
    1     0     0   137578  650340   97   27     0    0     0    0     0   1037   3743   225   6  0 94
    1     0     0   137578  650671  124   26     0    0     0    0     0   1031   8388   230  16  5 79
    1     0     0   137578  648469  286   21     0    0     0    0     0   1029  15974   215  12  0 88
    1     0     0   137578  650340  252   19    20    0     0    0     0   1047  13826   230  11  1 88
    3     0     0   135591  650671  225   23    16    0     0    0     0   1043  12140   234  13  5 82
    3     0     0   135591  650663  208   35    12    0     0    0     0   1037  10800   242  18  0 82
    3     0     0   135591  650340  224   50     9    0     0    0     0   1048  10933   285  17  2 82
    3     0     0   135591  650641  209   45     7    0     0    0     0   1033   9965   305  14  1 85
    3     0     0   135591  650310  196   52     5    0     0    0     0   1033   9066   303   9  0 91
    3     0     0   135591  650288  186   47     4    0     0    0     0   1050   8460   327  12  2 86
    3     0     0   135591  650340  176   47     3    0     0    0     0   1080   7916   326  17  1 82
    3     0     0   135591  650122  181   63     2    0     0    0     0   1081   7984   362  16  0 84
    3     0     0   135591  650122  187   62     1    0     0    0     0   1071   8087   353  13  2 85
    3     0     0   135591  650340  162   62     0    0     0    0     0   1059   7005   335   9  0 91
    1     0     0   128217  650671  155   60     0    0     0    0     0   1054   6775   342  12  2 86

    r     b     w      avm    free   re   at    pi   po    fr   de    sr     in   syscalls    cs  us sy id
    1     0     0   128217  650671  174   55     0    0     0    0     0   1057   7256   339  12  3 85
    1     0     0   128217  650340  169   49     0    0     0    0     0   1055   7067   343  17  1 82
    1     0     0   128217  650671  177   48     0    0     0    0     0   1053   7192   353  16  1 83
    1     0     0   128217  650340  197   49     0    0     0    0     0   1053   7736   356  14  2 84
    1     0     0   128217  650671  187   45     0    0     0    0     0   1044   7400   349  18  1 81
    1     0     0   128217  650340  197   48     0    0     0    0     0   1043   7607   370  13  2 85
    1     0     0   128217  650671  207   45     0    0     0    0     0   1037   7863   355  17  1 82
    1     0     0   128217  650340  195   41     0    0     0    0     0   1032   7429   346  18  1 81
    1     0     0   138599  650143  219   45     0    0     0    0     0   1041   8647   365  12  3 85
    1     0     0   138599  650199  218   43     0    0     0    0     0   1035   8281   354  19  0 81
    1     0     0   138599  650108  206   40     0    0     0    0     0   1040   7967   357  15  1 84
    1     0     0   138599  650108  226   44     0    0     0    0     0   1043   8493   360  14  0 86
    1     0     0   138599  650199  215   42     0    0     0    0     0   1038   7970   351   8  2 90
    1     0     0   138599  650199  201   39     0    0     0    0     0   1049   7504   331  14  2 84
    1     0     0   138599  650199  189   44     0    0     0    0     0   1042   7214   341  19  1 80
    1     0     0   138599  650530  204   63     0    0     0    0     0   1049   7715   379  13  2 85
    1     0     0   138599  650199  211   64     0    0     0    0     0   1048   8020   386  17  1 82
    1     0     0   138599  650530  201   65     0    0     0    0     0   1039   7621   379  16  3 81
    1     0     0   138083  650199  209   80     0    0     0    0     0   1044   7940   415  13  2 85
    1     0     0   138083  650142  215   78     0    0     0    0     0   1039   8151   403  18  1 81

    r     b     w      avm    free   re   at    pi   po    fr   de    sr     in   syscalls    cs  us sy id
    1     0     0   138083  650199  204   76     0    0     0    0     0   1032   7721   387  15  3 82
    1     0     0   138083  650199  228   88     0    0     0    0     0   1042   8724   445  15  1 84
    1     0     0   138083  650203  215   84     0    0     0    0     0   1041   8307   451  18  2 80
    1     0     0   138083  650199  204   81     0    0     0    0     0   1038   7892   435  18  1 81
    1     0     0   138083  650199  280   96     0    0     0    0     0   1045   9609   525  11  2 87
    1     0     0   138083  650344  240   90     0    0     0    0     0   1040   8365   490   0  0 100
    1     0     0   138083  650671  192   72     0    0     0    0     0   1036   6720   412   0  0 100
    1     0     0   138083  650670  170   57     0    0     0    0     0   1033   5994   354  11  1 88
    1     0     0   127888  650340  148   48     0    0     0    0     0   1033   5282   330  15  1 84
    1     0     0   127888  650340  158   41     0    0     0    0     0   1035   5881   317   7  2 91
    1     0     0   127888  650671  142   37     0    0     0    0     0   1044   5269   311   0  0 100
    1     0     0   127888  650670   91   23     0    0     0    0     0   1040   3443   237   0  0 100
    1     0     0   127888  650670   73   18     0    0     0    0     0   1036   2783   208   0  0 100
    1     0     0   127888  650670   58   14     0    0     0    0     0   1032   2255   185   0  0 100
    1     0     0   127888  650670   46   11     0    0     0    0     0   1029   1834   169   0  0 100
    1     0     0   127888  650670   37    8     0    0     0    0     0   1026   1494   154   0  0 100
    1     0     0   127888  650670   30    6     0    0     0    0     0   1024   1220   143   0  1 99
    1     0     0   127888  650670   24    4     0    0     0    0     0   1022   1004   135   0  0 100
    1     0     0   137920  650670   19    3     0    0     0    0     0   1021    831   128   0  0 100
    1     0     0   137920  650670   15    2     0    0     0    0     0   1020    690   121   0  0 100

    r     b     w      avm    free   re   at    pi   po    fr   de    sr     in   syscalls    cs  us sy id
    1     0     0   137920  650670   12    1     0    0     0    0     0   1020    620   117   0  0 100
    1     0     0   137920  650670   10    0     0    0     0    0     0   1021    530   113   0  0 100
    1     0     0   137920  650670    8    0     0    0     0    0     0   1026    450   108   0  0 100
