
    r     b     w      avm    free   re   at    pi   po    fr   de    sr     in   syscalls    cs  us sy id
    1     0     0   109752  650863   23    2     2    0     0    0     0   1043    687   140   0  1 99
    1     0     0   109752  650533   61    4     1    0     0    0     0   1042   2193   166  17  1 82
    1     0     0   109752  650677   75    6     0    0     0    0     0   1037   2826   190  16  2 82
    1     0     0   109752  650677   87    6     0    0     0    0     0   1560   3757   266  14  2 84
    1     0     0   109752  650533  107   10     0    0     0    0     0   1456   4461   287  16  0 84
    1     0     0   109752  650537  128   11     0    0     0    0     0   1375   5284   287  18  1 81
    1     0     0   109752  650533  136   14     0    0     0    0     0   1307   5625   299  14  4 82

    r     b     w      avm    free   re   at    pi   po    fr   de    sr     in   syscalls    cs  us sy id
    1     0     0   109752  650533  295   30    60    0     0    0     0   1565   8935   467  12  3 85
    1     0     0   191816  650533  263   26    48    0     0    0     0   1450   8222   429  15  1 84
    1     0     0   191816  650585  276   31    43    0     0    0     0   1377   9555   428  16  2 82
    1     0     0   191816  650533  263   28    34    0     0    0     0   1306   9343   394  17  1 82
    1     0     0   191816  650529  269   30    28    0     0    0     0   1255  10029   377  12  1 87
    1     0     0   191816  650860  226   27    22    0     0    0     0   1222   8482   346   0  0 100
    1     0     0   191816  650748  247   31    17    0     0    0     0   1184   9131   332  13  3 84
    1     0     0   191816  649260  377   71    13    0     0    0     0   1133  11400   385  26 10 64
    1     0     0   191816  650700  302   57    10    0     0    0     0   1357   9997   340   0  0 100
    1     0     0   191816  650608  273   53    11    0     0    0     0   1302   9044   306  12  2 86
    1     0     0   191816  650374  242   54     8    0     0    0     0   1301   8374   324  16  3 81
    1     0     0   192947  650340  217   55     6    0     0    0     0   1247   7830   327  16  1 83
    1     0     0   192947  649816  224   70     4    0     0    0     0   1212   8306   342  19  1 80
    1     0     0   192947  650667  203   70     3    0     0    0     0   1179   7903   330  17  2 81
    1     0     0   192947  650667  187   67     2    0     0    0     0   1149   7450   313   6  1 93
    1     0     0   192947  650667  165   58     1    0     0    0     0   1122   6309   277   0  1 99
    1     0     0   192947  650666  132   46     0    0     0    0     0   1101   5075   241   0  0 100
    1     0     0   192947  650666  122   36     0    0     0    0     0   1086   4712   218  10  1 89
    1     0     0   192947  650332  124   32     0    0     0    0     0   1070   5068   226  13  1 86
    1     0     0   192947  650345  132   31     0    0     0    0     0   1069   5504   252  11  0 89

    r     b     w      avm    free   re   at    pi   po    fr   de    sr     in   syscalls    cs  us sy id
    1     0     0   192947  650345  128   26     0    0     0    0     0   1059   5358   251  21  2 77
    1     2     0   132798  648299  154   39     0    0     0    0     0   1040   4788   272  12  1 87
    1     2     0   132798  650662  123   31     0    0     0    0     0   1037   3863   240   9  1 90
    1     2     0   132798  650663  147   29     0    0     0    0     0   1052   5025   256  13  2 85
    1     2     0   132798  650332  151   27     0    0     0    0     0   1042   5315   262  16  1 83
    1     2     0   132798  650034  183   40    18    0     0    0     0   1062   6434   301  17  0 83
    1     2     0   132798  650332  170   39    14    0     0    0     0   1055   6288   299  13  2 85
    1     2     0   132798  650332  165   35    11    0     0    0     0   1043   6112   292  18  1 81
    1     2     0   132798  650663  187   35     8    0     0    0     0   1054   6983   307  14  2 84
    1     2     0   132798  650332  174   37     6    0     0    0     0   1048   6992   373  15  0 85
    1     2     0   132798  650332  173   48     4    0     0    0     0   1046   7500   375  13  3 84
    2     1     0   139655  650077  147   40     3    0     0    0     0   1206   6363   634   2  0 98
    2     1     0   139655  649920  117   32     2    0     0    0     0   1174   5130   556   0  0 100
    2     1     0   139655  649929   94   25     1    0     0    0     0   1143   4171   485   1  2 97
    2     1     0   139655  649923  136  114    12    0     0    0     0   1134   5930   628  18  1 81
    2     1     0   139655  650191  144   99     9    0     0    0     0   1122   6073   577  18  2 80
    2     1     0   139655  650191  178   96     7    0     0    0     0   1109   6928   537  12  3 85
    2     1     0   139655  650191  179   85     5    0     0    0     0   1084   6859   495  18  1 81
    2     1     0   139655  650191  195   84     4    0     0    0     0   1084   7168   483  15  2 83
    2     1     0   139655  650191  202   76     3    0     0    0     0   1072   7483   453  15  1 84

    r     b     w      avm    free   re   at    pi   po    fr   de    sr     in   syscalls    cs  us sy id
    2     1     0   139655  650191  195   69     2    0     0    0     0   1059   7151   427  19  1 80
    1     1     0   141339  650191  222   72     1    0     0    0     0   1072   8113   452  13  2 85
    1     1     0   141339  650195  204   69     0    0     0    0     0   1061   7609   425  16  1 83
    1     1     0   141339  650191  190   67     0    0     0    0     0   1055   7228   400  17  1 82
    1     1     0   141339  650204  206   79     0    0     0    0     0   1060   8079   428  14  2 84
    1     1     0   141339  650191  189   74     0    0     0    0     0   1051   7658   429  22  3 75
    1     1     0   141339  649612  237   88     0    0     0    0     0   1057   8440   476  14  1 85
    1     1     0   141339  650332  230   82     0    0     0    0     0   1048   8486   450  16  1 83
    1     1     0   141339  650476  208   77     0    0     0    0     0   1038   7992   445  17  2 81
    1     1     0   141339  650332  202   85     0    0     0    0     0   1045   8078   469  13  1 86
    1     1     0   141339  650663  204   80     0    0     0    0     0   1040   8164   440  18  2 80
    1     0     0   148694  650332  190   76     0    0     0    0     0   1037   7654   411  16  1 83
    1     0     0   148694  650663  204   85     0    0     0    0     0   1042   8292   416  14  2 84
    1     0     0   148694  650332  189   80     0    0     0    0     0   1053   7783   398  18  1 81
    1     0     0   148694  650332  178   76     0    0     0    0     0   1049   7327   376  13  2 85
    1     0     0   148694  650396  195   85     0    0     0    0     0   1053   8026   391  16  1 83
    1     0     0   148694  650332  182   80     0    0     0    0     0   1046   7530   371  18  1 81
    1     0     0   148694  650332  174   76     0    0     0    0     0   1047   7320   376  13  2 85
    1     0     0   148694  650336  190   85     0    0     0    0     0   1050   7830   369  16  3 81
    1     0     0   148694  650332  178   80     0    0     0    0     0   1041   7367   353  17  1 82
