CPU minf mjf xcal  intr ithr  csw icsw migr smtx  srw syscl  usr sys  wt idl
 51  180   0 2800    19    0   32    0   10  110    0   433    1   3   0  96
 52  417   0 1532   425    0  858    0   13  245    0  2847    2   5   0  93
 53  143   0 3778    19    0   32    0    8   45    0   400    1   1   0  98
 54  326   0 1839    52    0   70    0   19  136    1   737    2   4   0  94
 55 1330   0 12231   183   13  347    5   64  438    2  5616   28  20   0  52
 56 2624   0 18092   267   19  440    5  100  977    4  5989   11  29   0  60
 57  977   0 10788   161    7  275    1   48  365    1  1843    4   9   0  87
 58  244   0  271    32    9   28    0    8  244    0   978    1   2   0  97
 59  173   0  409    16    5   15    0    5   97    0   143    0   1   0  98
 60  798   0 2733    52    1   81    0   25  331    0  2424    3   7   0  89
 61  470   0 2506    47    3   63    0   19  198    0   465    1   4   0  94
 62  658   0 5036   108    0  199    1   20  255    1  2896    5  11   0  84
 63  892   0 10053   112    9  168    1   35  382    1  2482    4  10   0  85
Sun Jul 11 16:17:59 IST 2010
CPU minf mjf xcal  intr ithr  csw icsw migr smtx  srw syscl  usr sys  wt idl
  0  691   0 7829   241    2   69    0   22  292    0  1735    3   9   0  88
  1 1447   0 153586   145    9  223    1   61  648    1  4962   10  29   0  61
  2  290   0 10332    48    2   74    1   16  656    1  1237    4   9   0  87
  3  120   0 5425    31    5   35    0    6   42    0   471    0   2   0  98
  4  244   0 3346    22    1   22    2    5   75    0  2205   16   9   0  74
  5  156   0 1551    18    1   20    0    5   64    0   303    0   1   0  98
  6  189   0 3444    15    0   22    0    6   60    0   354    0   2   0  97
  7  733   0 1271    20    0   21    4    6   89    0  8822   27  27   0  46
  8  116   0 3114    18    0   25    0    4  113    1  1034    4   9   0  87
  9  376   0 3078    22    0   32    0   14   80    0   397    2   8   0  89
 10  766   0 23612    80    3  119    5   41  313    0  2153   16  44   0  41
 11  651   0 8817    69    1  110    0   40  207    1  2055    3   6   0  91
 12  334   0 3084    33    2   42    1   11  151    0  1163    2   4   0  94
 13  280   0 11736    33    0   56    1   13  145    0   940    5  17   0  78
 14  346   0 9551    31    0   42    0   11  105    0   719    2   8   0  90
 15  264   0 11440    39    3   61    0   13  126    0   741    1   4   0  95
 16  585   0 2597    27    1   42    0   15  215    0   674    1   5   0  93
 17  374   0 6431    29    1   52    0   13  152    0   730    1   4   0  95
 18  680   0 7987    47    1   76    0   24  288    0  1034    2   6   0  91
 19 2419   0 42072   231   14  377    1  110  976    2  5620    9  25   0  66
 20 2054   0 13491   108    6  204    0   56  993    0  3160    7  19   0  74
 21  333   0 5126    34    0   55    0   14  227    0   742    1   3   0  95
 22  317   0 16112    56    2   98    0   16  167    0  1445    2   5   0  93
 23  271   0 5423    50    6   69    0   15  140    0   829    1   3   0  96
 24  659   0 4658    43    1   75    0   20  358    0  2358    3   7   0  90
 25  473   0 4570    37    0   64    0   18  250    0  1458    2   5   0  93
 26  846   0 3572    52    2   82    0   25  301    0  1044    3   9   0  88
 27  935   0 23322   114    3  196    0   44  386    1  2602    4  11   0  85
 28 2996   0 27311   203    6  356    5  112  995    1  5933   11  29   0  60
 29  985   0 11921   105    9  148    1   46  361    0  2174    3   9   0  88
 30  204   0 6926    36    0   62    0   16  112    0   660    1   2   0  97
 31  109   0 1751    16    0   27    0    8   51    0   234    0   1   0  99
 32  545   0 17387    76    4  119    1   27  386    0  3072    3   8   0  89
 33  318   0 10238    39    0   57    0   14  109    0  1033    2   4   0  94
 34  626   0 11489    76    2  130    0   23  249    1  2326    4   7   0  89
 35  907   0 6953    53    4   83    1   27  322    0  1091    3   8   0  89
 36  646   0 10064    52    3   86    0   28  233    0  1145    2   6   0  92
 37 2170   0 33765   179   13  292    3   96  811    1  5954   10  23   0  67
 38  710   0 8821    58    6   86    0   27  249    0  1226    2   7   0  91
 39  355   0 9346    29    0   52    2   12  131    0  3010   24   4   0  72
 40  686   0 6790    62    0   99    0   22  269    0  1514    3   7   0  90
 41  374   0 17575    56    3   93    0   24  287    0  1694    2   5   0  93
 42  769   0 7232    46    1   80    0   25  389    1  1573    2   7   0  90
 43  643   0 7564    48    0   80    0   25  396    0   920    2   7   0  91
 44  446   0 2515    26    0   39    0   12  202    0   612    1   4   0  95
 45  587   0 9392    51    3   76    0   24  299    0  1128    2   6   0  92
 46 2452   0 98655   179    9  302    3   97 1788    1  6803   10  31   0  59
 47  644   0 13205    80    1  137    0   35  343    0  1693    3   7   0  90
 48 1552   0 31174   131    6  234    1   62  547    0  3341    6  18   0  76
 49  475   0 4706    27    0   45    0   18  176    0   587    1   4   0  94
 50  197   0 10030    34    1   60    0   15  100    0   659    1   3   0  96
 51  223   0 1324    25    0   43    0   12  254    0   978    1   4   0  94
 52  324   0  487    16    0   24    0   11  165    0   242    1   2   0  97
 53  139   0 2964    16    1   24    0    7   95    0   321    0   2   0  98
 54  476   0 9867    49    1   83    0   22  209    0  1138    2   5   0  93
 55 1614   0 12025   113   11  173    5   57  559    0  6699   51  16   0  33
 56 2460   0 43893   213    7  380    5  111 1134    2  6908   10  26   0  64
 57  623   0 9134    65    1   98    0   28  157    0  1117    3  10   0  87
 58  112   0 3102    47    7   53    0   11   67    0   614    1   1   0  98
 59  130   0 2789    30    5   38    0    9  116    0   462    1   1   0  98
 60  652   0 1520    31    1   44    0   18  299    0   647    2   8   0  90
 61  429   0 1122    31    0   51    0   16  278    0  1769    2   4   0  93
 62  445   0 1498    26    0   35    0   16  282    0  1007    1   4   0  95
 63  542   0 17187    55    1   97    1   26  232    0  4472   33   7   0  60
Sun Jul 11 16:18:01 IST 2010
CPU minf mjf xcal  intr ithr  csw icsw migr smtx  srw syscl  usr sys  wt idl
  0  670   0 5254   245    1   76    0   27  302    0  1498    2   8   0  90
  1 1510   0 12889   112    6  165    4   54  438    0  8363   29  30   0  42
  2  543   0 13331    66    3  102    0   40  196    0  1357    2   6   0  92
  3  155   0 3855    20    1   25    0    7   93    0   412    1   1   0  98
  4  902   0 14312    39    0   69    2   18  257    0  7775   13  23   0  64
  5  450   0 7988    48    3   74    0   22  182    0   904    2   5   0  93
  6  356   0 1613    32    1   39    0   16  222    0   361    1   3   0  96
  7  252   0 1373    35    2   41    1   10  156    0  1207    1   6   0  92
  8  275   0 5130    21    0   31    1   10  126    0   536    5  19   0  75
  9  376   0 4487    33    2   54    0   20  131    0   464    1   3   0  96
 10 2006   0 46681   191    5  338    2  103  981    0  5563    8  23   0  69
 11  608   0 9450    64    1   97    0   30  535    0  3362    3   8   0  89
 12  609   0 7181    69    0  107    0   27  359    0  2053    2   6   0  91
 13  448   0 15687    39    0   71    0   16  225    1  1198    2   5   0  93
 14  426   0 4385    50    3   69    0   18  227    0   809    2   4   0  94
 15  563   0 79985    42    1   73    1   20  923    0  3438    4  15   0  81
 16  127   0 11942    19    0   26    3    7  149    0   476    9  32   0  59
 17  223   0  272    10    0   13    0    5  136    0   200    1   1   0  98
 18  492   0 17974    47    2   82    1   22  300    0  1378    2   9   0  88
 19 1489   0 23610   158    8  264    1   83  779    0  3178    5  16   0  78
 20 1121   0 5926    69    8   94    0   34  439    0  1060    3   9   0  88
 21  258   0 16891    48    2   75    0   13  190    0  1078    1   4   0  94
 22  362   0 9513    35    0   56    0   17  398    0   882    4  12   0  84
 23  337   0 9482    50    0   87    0   15  187    0  2266    3   5   0  91
 24  816   0 12759    50    1   88    0   25  401    0   960    2   7   0  90
 25  834   0 5800    52    3   82    0   24  420    0   929    2   7   0  90
 26  597   0 3489    43    3   66    0   18  291    0   683    1   5   0  93
 27 1047   0 25461    90    0  181    0   39 1058    1  3972    5  14   0  81
 28 3007   0 49024   205    8  337    2  108 1334    0  4598   10  30   0  60
 29  666   0 23587    87   13  125    0   32  707    0  2094    3   9   0  88
 30  420   0  354    25    0   42    0   14  230    0   331    1   3   0  96
 31  194   0 3072    13    1   18    0    7  111    0   304    1   2   0  97
 32  125   0 1147    19    1   16    3    4   40    0  5820   56   2   0  42
 33   96   0  245    20    3   19    0    4   17    0   390    1   1   0  97
 34  115   0 4233    28    2   41    1    7  148    0  1761    1   3   0  96
 35   71   0 5579    26    0   35    0    7   32    0   497    0   1   0  98
 36  227   0 6070    44    2   64    0   14  144    0   705    1   2   0  97
 37 1458   0 26388   124    6  202    1   63  426    0  3129    5  16   0  79
 38  275   0  837    17    5   12    0    6   90    1   221    0   2   0  97
 39   34   0   66    13    1   10    3    3    5    0  4410   44   0   0  55
 40  405   0 2496    37    1   66    0   17  249    0   544    1   4   0  95
 41  322   0 17873    68    6  107    0   22  312    0  1330    2   5   0  93
 42  433   0 2832    42    0   60    0   19  198    0   593    1   4   0  95
 43  829   0 11748    62    0  103    0   29  421    0  1383    3   8   0  89
 44  564   0  732    20    0   33    0   13  236    0   405    1   4   0  94
 45  363   0 8707    38    1   55    0   15  173    0   916    1   4   0  95
 46 2222   0 33534   161    4  282    4   86  969    0  4332   13  41   0  46
 47  642   0 66934    72    1  120    0   33  696    0  2553    3  12   0  85
 48 1354   0 28556   118    6  194    0   51  797    0  3047    5  15   0  80
 49  489   0 7846    39    2   67    0   20  165    0   917    2   5   0  93
 50  401   0 17324    60    2   99    0   23  232    0  1458    2   5   0  93
 51  363   0 9821    36    0   62    0   15  202    0   780    1   4   0  95
 52  713   0 7922    39    0   67    0   22  298    0  1169    2   7   0  91
 53  161   0 7021    29    3   46    0   13   65    0   544    1   2   0  97
 54  643   0 10649    67    3   94    0   28  276    0  1309    2   7   0  91
 55 2268   0 33021   189    9  320    2   99 1007    0  6966   11  30   0  59
 56 3397   0 54249   217   12  374    5  122 1479    0  8432   14  35   0  51
 57  753   0 15006    97    5  152    0   40  466    0  1887    3   8   0  89
 58  224   0 4050    32    8   33    0   10  208    0   327    1   2   0  97
 59  234   0 2213    20    5   22    0    9   93    0   220    0   1   0  98
 60  861   0 3572    57    2   93    0   25  400    0  3664    4   9   0  86
 61  627   0 4548    52    1   72    0   21  263    0  1112    2   6   0  92
 62  730   0 5584    62    1   89    1   27  470    0  1617    3   7   0  90
 63 1057   0 18471    92    6  152    1   42  325    0  2918    4  12   0  84
Sun Jul 11 16:18:03 IST 2010
CPU minf mjf xcal  intr ithr  csw icsw migr smtx  srw syscl  usr sys  wt idl
  0 1111   0 7329   258    2   99    1   40  677    0 21334   10  15   0  74
  1 2175   0 27416   294    4  546    6   99 1034    0  5473    9  23   0  69
  2  391   0 18376    91    5  149    0   25  266    0  1946    2   5   0  93
  3  285   0 4295    28    1   40    0   15  169    0   409    0   3   0  97
  4  642   0 17836    76    6  119    0   28  414    0  1343    2   8   0  90
  5  689   0 5178   154    4  285    1   25  365    0  1754    2   7   0  90
  6  838   0 4380    70    4  113    0   31  517    0  1089    2   8   0  90
  7  639   0 2794   143    3  266    1   24  416    0  2952    3  11   0  86
  8  489   0 4103    72    3  123    0   23  273    0   841    2   4   0  94
  9  495   0 9843    81    3  130    1   26  283    0  1402    2   5   0  93
 10 2136   0 35989   266    7  467    9  104 1072    0 16354   12  26   0  62
 11  930   0 20757   194    5  358    1   47  548    0  2615    4  10   0  86
 12 1173   0 6868   231    3  452    1   37  667    1  4821    6  13   0  80
 13  704   0 14224    54    2   90    0   27  336    0  1390    2   7   0  90
 14  496   0 5187   163    4  305    1   24  319    0  1624    2   5   0  93
 15  615   0 5215    40    3   61    0   24  212    0   736    2   6   0  92
 16  264   0 2332    33    0   58    0   10  146    0   560    1   3   0  96
 17   86   0 1155    86    0  166    0    5   55    0   659    0   1   0  98
 18  229   0 5395    49    2   76    3   12  731    0 79156   30  20   0  51
 19 1632   0 29910   201    4  359    3   83  554    0  4462    7  18   0  75
 20  685   0 2695   223    2  415    0   24  276    0  3572    4   8   0  88
 21  247   0 3280    78    3  142    0   13  170    0  1723    1   3   0  96
 22  178   0 15109    92    0  180    0   17  194    0  1657    1   4   0  94
 23  215   0 1894    37    1   53    1   10  384    0 46618   18  12   0  70
 24  919   0 12478    55    1   91    0   30  412    0  1453    3   9   0  88
 25  812   0 9454   203    2  393    2   29  526    0  2465    3   9   0  88
 26  591   0 5628    64    0  103    1   22  215    0  1034    2   5   0  92
 27  801   0 23517   150    9  245    1   42  382    0  2407    3   9   0  87
 28 2340   0 52137   266   10  477    6  115 1375    0  6350    9  27   0  64
 29 1227   0 19121   169    7  295    2   41  658    0  3544    5  13   0  82
 30  554   0 6232    96    0  177    0   18  278    0  1492    2   6   0  92
 31  297   0 3464    29    0   47    0   17  207    0   662    1   3   0  96
 32    0   0    3    19    1   16    6    0    3    0  8395   84   0   0  16
 33   18   0 2916    25    0   35    1    3   20    0  1984   17   1   0  82
 34    0   0 2511     6    1    3    0    1    4    0   188    0   0   0 100
 35    0   0    0    20    0   36    0    2    4    0   227    0   0   0 100
 36  236   0 9840    53    0  101    1   13  181    0  1798    2   4   0  94
 37 1513   0 41450   247    6  466    2   71  624    0  5915    8  19   0  73
 38  726   0 1641    48    4   79    0   16  222    0  1419    3   6   0  91
 39  118   0 2592   106    0  203    0    5   74    0   995    1   2   0  97
 40  435   0 3419    64    0  111    0   17  273    0  1507    2   5   0  93
 41  288   0 10891   121    3  223    0   19  241    0  2561    3   5   0  92
 42  321   0 7056    36    1   59    0   16  225    0   702    1   4   0  95
 43  589   0 11085    79    7  132    1   24  341    0  1181    2   6   0  92
 44  358   0  420    34    0   58    0   13  222    0   425    1   3   0  96
 45  315   0 11474    78    0  146    1   19  192    0  2066    2   4   0  93
 46 1218   0 28393   123    2  207    8   54  723    0  2605   15  52   0  32
 47  791   0 15790   196    9  340    2   52  381    0  3778    4   9   0  87
 48  650   0 10363   192    2  355    3   30  401    0  3423    4   8   0  88
 49  320   0 3333    91    2  173    1   12  265    0  2435    2   4   0  94
 50  272   0 18586    58    2  102    2   16  217    0  1223    7  24   0  69
 51  369   0 12557    98    0  180    1   18  290    0  2392    2   5   0  92
 52  275   0 6080    18    0   30    0   10  155    0   530    1   3   0  96
 53  278   0 4505    88    1  166    0   11  141    0   963    1   3   0  96
 54  328   0 12133    93    1  158    2   18  277    0  1544    7  24   0  69
 55 1625   0 39356   279   12  500    3   84  837    0  5773    7  20   0  72
 56 2688   0 30937   266    5  451    7  124 1377    0 14835   13  28   0  59
 57  868   0 20563   148    0  277    0   42  495    0  2369    3  10   0  87
 58  449   0 12076    78    8  122    0   23  285    0  1125    1   5   0  94
 59  304   0 5132    55    5   87    0   15  230    0   703    1   3   0  96
 60  794   0 8244   133    1  246    0   27  461    0  1329    2   7   0  90
 61  683   0 11410   101    1  175    0   30  414    0  1770    3   8   0  89
 62  979   0 11109   142    0  270    1   35  546    0  1904    3   9   0  87
 63 1126   0 13818   118    1  227    1   43  520    0  2906    5  12   0  83
Sun Jul 11 16:18:05 IST 2010
CPU minf mjf xcal  intr ithr  csw icsw migr smtx  srw syscl  usr sys  wt idl
  0  850   0 8417   254    6   88    0   30  295    0  1071    3   9   0  88
  1 2614   0 46577   209    7  370    3  105 1012    1  4678    9  27   0  64
  2  690   0 7175    91    5  156    0   28  315    0  1284    2   7   0  91
  3  179   0 4142    32    1   48    0    9  193    0  1770    2   2   0  96
  4  673   0 14245   117    1  226    0   25  466    0  3906    4   8   0  88
  5  861   0 3758    41    0   62    0   24  347    0   787    2   7   0  90
  6  497   0 2339    46    7   71    0   18  251    0   593    2   4   0  94
  7  566   0 3659    45    4   65    1   19  199    0  1353    2   9   0  88
  8  305   0 3210    17    0   30    0   11  152    0   373    1   3   0  96
  9  445   0 12095    42    2   72    0   20  238    0   945    2   5   0  93
 10 1737   0 29200   168    4  287    4   79  770    0  5847   31  19   0  50
 11  920   0 16140    60    2  111    1   36  279    0  1541    3   9   0  87
 12  638   0 7571    49    2   88    0   24  309    0  1003    2   7   0  91
 13  300   0 14216    48    3   81    0   18  213    0   889    1   4   0  94
 14  540   0 5807    49    1   89    1   19  267    0  1211    2   5   0  93
 15  547   0 14044    72    3  120    0   23  268    0  1367    2   6   0  91
 16  637   0 4646    25    0   43    0   16  242    0   677    2   5   0  93
 17  463   0 6390    52    1   83    0   15  280    0   754    1   4   0  94
 18  633   0 27676    64    2  119    0   26  345    0  2053    3   8   0  89
 19 1964   0 47675   221   12  387    0   97  721    0  5032    8  22   0  69
 20 1572   0 18496   102    1  169    0   46  567    0  2247    5  14   0  81
 21  271   0 11518    30    1   52    0   13  150    0   799    1   4   0  95
 22  425   0 12360    39    2   62    0   17  222    0   999    1   5   0  94
 23  416   0 13469    55    1   82    1   16  358    0 24918   10  10   0  80
 24  686   0 2917    38    0   68    0   22  260    0   702    2   6   0  92
 25  292   0 2952    28    3   32    0   12  120    0   380    1   3   0  96
 26  182   0 5920    52    2   75    0   12  186    0  1138    1   3   0  95
 27  553   0 15042    67    0  104    0   26  244    0  2305    3   6   0  91
 28 1123   0 18788    69    2  104    5   39  550    0  1575   17  61   0  21
 29  758   0 13685    93    7  144    0   47  238    0  2253    3   8   0  89
 30   29   0 3528    28    0   50    0    5   30    0   547    0   0   0  99
 31   45   0 1912    10    0   12    0    3   26    0   176    0   0   0  99
 32  294   0 10730    30    0   46    0   13  174    0   768    1   4   0  95
 33  355   0 4007    22    1   35    0   11  158    0  1502   11   3   0  86
 34  351   0 7644    34    1   53    0   14  170    0   823    1   4   0  95
 35  409   0 13552    60    4   92    0   19  179    0  1513    2   5   0  92
 36  564   0 8153    29    0   41    2   16  181    0   735    8  29   0  63
 37 2039   0 37522   173    6  298    3   88  803    0  4020    8  21   0  71
 38  435   0 3876    35    1   53    0   19  151    0   605    1   4   0  95
 39   97   0 2215    11    0   16    0    5   38    0   234    0   1   0  99
 40  285   0 6480    31    2   50    0   12  135    0   645    1   3   0  95
 41  131   0 10897    41    3   53    0   10   67    0   526    0   2   0  97
 42  331   0 7811    97    3  175    0   12  115    0  1239    2   4   0  94
 43  407   0 3676    29    1   39    0    9   70    0   555    1   4   0  95
 44   80   0 1785    10    1   11    0    3   39    0   118    0   0   0  99
 45  274   0 3068    18    0   31    0   12   61    0   463    1   2   0  97
 46 1039   0 14649    64    2  104    5   33  309    0  8380   69  11   0  20
 47  810   0 15759    72    4  120    0   44  185    0  1435    3   8   0  89
 48 1412   0 14595    85    3  138    0   38  500    1  2186    5  13   0  82
 49  313   0 4327    30    0   49    0   14  150    0   577    1   3   0  96
 50  269   0 19724    57    2  104    0   19  217    0  1249    2   7   0  91
 51  278   0 8174    40    0   72    0   14  188    0   869    1   3   0  95
 52  394   0 3188    16    0   25    0   11  124    0   417    1   3   0  96
 53  391   0 15785    29    0   53    0   13  274    0   802    1   5   0  94
 54  660   0 10027    44    1   79    0   22  292    0  1069    2   7   0  91
 55 2325   0 36604   219   10  369    5  104  928    1  5213    9  24   0  67
 56 3517   0 41688   241   15  417    1  124 1279    0  5370   12  34   0  54
 57  728   0 4311    56    1   87    0   29  237    0   963    2   6   0  91
 58  177   0 3697    29    6   32    0   11  133    0   411    1   2   0  97
 59  154   0 7840    34    5   39    0   10  129    0   591    1   2   0  97
 60  759   0 9394    62    4   84    0   28  439    0  2614    3   8   0  89
 61  549   0 7451    55    1   85    0   18  274    0  1814    2   6   0  92
 62  488   0 7666    92    6  144    0   24  288    0  1404    2   6   0  92
 63  967   0 12884    87    7  136    1   38  408    0  1725    3  10   0  87
Sun Jul 11 16:18:07 IST 2010
CPU minf mjf xcal  intr ithr  csw icsw migr smtx  srw syscl  usr sys  wt idl
  0  869   0 8429   238    0   77    0   28  296    0  1002    2   9   0  89
  1 1885   0 40625   206   14  342    1   96  859    1  5290   18  20   0  62
  2  521   0 16770    53    1   90    0   28  296    0  1371    2   6   0  92
  3  242   0 10954    26    1   40    0   12  182    0   717    1   3   0  96
  4  507   0 13493    51    2   84    0   24  209    0  1159    1   6   0  93
  5  584   0 1933    25    1   43    0   16  179    0   584    1   5   0  94
  6  409   0 4068    43    3   55    0   19  237    0   584    1   4   0  95
  7  781   0 9136    63    4  101    1   26  226    0  1787    3  11   0  86
  8  373   0 5132    34    1   52    0   17  193    0   635    1   3   0  96
  9  533   0 4575    56    1   94    0   19  205    0   970    2   5   0  93
 10 2562   0 47643   233    8  403    3  121 1199    0  4883    9  26   0  65
 11  931   0 7955    81    6  115    0   30  377    0  1241    3   8   0  89
 12  948   0 4969    52    1   99    0   27  436    0  1111    3  10   0  87
 13  567   0 18092    68    2  121    0   26  330    0  1615    2   7   0  91
 14  461   0 12241    54    0   98    0   21  275    0  1260    2   5   0  93
 15  461   0 2011    61    8   78    0   20  158    0   572    1   4   0  95
 16  268   0 5461    23    0   37    0   11  223    0   619    1   3   0  96
 17  188   0 4236    27    1   37    0    9  106    0   353    0   2   0  98
 18  600   0 3416    39    1   62    0   22  206    1   828    2   5   0  93
 19 2756   0 33638   227    7  365    8  111 1106    0  4996   10  27   0  63
 20 1375   0 11157   122   14  167    0   51  560    0  1391    4  12   0  84
 21  252   0 14305    61    2   96    0   14  200    0  1343    1   4   0  95
 22  204   0 15274    28    0   52    0   12  189    0  1061    1   3   0  96
 23  250   0 5775    52    1   76    0   13  117    0   993    1   3   0  95
 24  607   0 16002    49    1   87    0   22  322    0  1304    2   6   0  91
 25  491   0 9114    39    0   75    0   19  161    0   832    1   5   0  94
 26  492   0 8928    50    1   89    0   23  292    0   971    2   5   0  93
 27  746   0 15649    83    2  147    0   35  403    0  1588    2   8   0  90
 28 2830   0 29740   191    7  328    4  111 1137    0  3938   11  33   0  56
 29  564   0 14438    69    9   99    0   33  234    0  1378    2   6   0  92
 30  254   0 9352    30    0   53    0   14  127    0   768    1   3   0  96
 31  312   0 4289    18    0   32    0   12  134    0   480    1   3   0  96
 32  603   0 29286    83    0  149    0   28  361    0  2546    3   8   0  88
 33  625   0 8388    58    2  105    0   20  244    0  1261    2   6   0  91
 34  667   0 13276    57    4   86    0   24  352    0  1017    2   6   0  91
 35  780   0 15958    64    5   98    0   28  419    0  1383    3   8   0  89
 36 1157   0 15338    71    3  116    0   36  522    0  1642    3  11   0  86
 37 2595   0 36016   193    8  336    3  103 1082    0  4159    8  25   0  67
 38  485   0 6008    42    7   59    0   21  191    0   722    1   4   0  94
 39  502   0 1298    23    1   35    0   13  161    0   544    1   4   0  94
 40  448   0 13039    55    5   81    0   17  195    0  1142    2   5   0  93
 41  274   0 5955    58    3   78    0   17  144    0   967    2   3   0  95
 42  263   0 13121    56    0   98    0   15  174    0  1042    1   4   0  95
 43  375   0 11288    36    4   54    0   12  231    0   820    1   4   0  94
 44  366   0 2035    19    1   25    0   11  196    0   326    1   3   0  96
 45  303   0 6921    24    1   33    0   12   96    0   664    1   3   0  96
 46  966   0 9443    70    2  103    4   38  445    0  7509   65   9   0  26
 47  790   0 17028    62    2  101    0   37  239    0  1322    2   8   0  90
 48 1060   0 21655    87    0  143    0   43  335    0  2106    3  10   0  86
 49  208   0 9156    25    0   39    0    8   77    0   755    1   3   0  96
 50  184   0  359    28    0   37    2    7   49    0  2496   21   2   0  77
 51   95   0  208     6    0    4    0    1   33    0    89    0   1   0  99
 52    0   0  591     3    0    2    0    0    1    0     2    0   0   0 100
 53   20   0 2088     7    0    6    0    1    8    0    84    0   0   0 100
 54  120   0 1630    15    0   19    0    7   34    0   892    7   1   0  92
 55  189   0 20727    33    2   30    5   11  209    0   852   20  74   0   5
 56 2878   0 31956   220    6  372    1  124 1103    0  4333    9  27   0  63
 57  573   0 14756    64    2  109    0   26  202    0  1503    2   6   0  91
 58  181   0 5156    24    6   28    0    8   46    0   398    0   2   0  98
 59  187   0 5793    24    6   30    0    8   58    0   533    0   2   0  97
 60  679   0 7061    33    0   58    0   21  319    0   838    2   6   0  92
 61  484   0 5688    53    1   88    1   18  151    0  1004    2   5   0  93
 62  399   0 5317    45    0   76    0   23  209    0  1071    2   4   0  94
 63  671   0 20926    78    2  123    0   31  322    0  1752    3   8   0  89
Sun Jul 11 16:18:09 IST 2010
CPU minf mjf xcal  intr ithr  csw icsw migr smtx  srw syscl  usr sys  wt idl
  0  682   0 8645   245    2   81    0   26  213    0  1065    2   8   0  89
  1 1613   0 37731   172   10  298    2   82  842    0  4398   16  17   0  67
  2  452   0 9344    49    7   65    1   18  140    0   948    1   5   0  94
  3   63   0 2073    14    0   20    0    5   60    0   178    0   1   0  99
  4  456   0 13510    44    0   82    0   21  238    0  1023    2   5   0  93
  5  488   0 9485    46    4   83    0   18  185    0  1011    2   5   0  93
  6  293   0 3170    28    2   36    2   13  137    0  3470   31   3   0  66
  7  400   0 3257    20    1   29    1   11  197    0  1242    3   8   0  89
  8  419   0 6526    34    2   59    0   16  234    0   662    1   6   0  93
  9  645   0 7457    67    5  111    1   26  287    0  1358    2   7   0  91
 10 2034   0 40517   199    8  326    2   95  884    0  4174   10  30   0  60
 11  726   0 5871    48    3   74    0   27  281    0   929    2   6   0  92
 12  818   0 6029    51    1   82    0   27  476    0   999    2   8   0  89
 13  644   0 21247    61    2  110    1   25  237    0  1716    3   8   0  89
 14  443   0 12328    45    2   81    0   18  205    0   984    2   5   0  93
 15  340   0 2417    60    5   90    0   16  163    0   664    1   3   0  95
 16  495   0  789    33    0   59    0   15  219    0   546    1   4   0  95
 17  227   0 7244    30    3   40    0    9  101    0   580    1   2   0  97
 18  605   0 9737    58    1  101    0   30  316    0  1096    2   6   0  92
 19 2959   0 44254   236   10  387    3  122 1233    0  4602   10  29   0  62
 20 1625   0 7395   104    1  158    2   55  802    0  2077    5  14   0  81
 21  217   0 9429    64    4   96    0   18  196    0   922    1   3   0  96
 22  126   0 17880    53    0   87    0   16  133    0  1202    1   3   0  95
 23  184   0 7059    51    2   71    0   14  147    0   850    1   2   0  97
 24  741   0 5571    53    3   75    0   25  269    0   794    2   6   0  91
 25  532   0 9902    57    1   95    0   19  313    1   947    2   5   0  93
 26  489   0 5319    38    2   59    0   18  202    0   612    1   4   0  94
 27  787   0 25557    98    5  160    1   38  421    0  2651    4  10   0  86
 28 3043   0 36929   219   16  361    3  115 1128    0  4724   11  30   0  59
 29  612   0 15328    66    9   99    0   28  292    0  1262    2   7   0  91
 30  241   0 2301    17    0   26    0    8   56    0   346    1   2   0  97
 31  133   0 9005    21    0   40    0    9   56    0   658    0   2   0  98
 32  629   0 19271    61    0  110    0   27  287    0  1397    2   7   0  90
 33  392   0 9388    49    2   76    0   20  294    0   949    1   4   0  94
 34  568   0 3801    37    2   61    0   20  200    0   660    1   5   0  94
 35  511   0 7027    66    1  115    0   24  274    0  1191    2   5   0  93
 36 1128   0 6565    68    0  113    0   35  398    0  1581    4  10   0  86
 37 2903   0 37533   209    5  364    1  111 1174    1  4483    9  27   0  64
 38  419   0 10096    41    6   57    0   16  122    0   704    1   4   0  94
 39  299   0 1368    17    0   27    0    9  103    0   407    1   2   0  97
 40  856   0 4705    47    0   71    0   23  301    0  1193    3   7   0  90
 41  846   0 22285    54    0  105    0   30  451    0  1793    3   9   0  88
 42  571   0 7626    53    0   77    0   22  290    0  1048    2   6   0  92
 43  426   0 3313    32    2   45    0   17  227    0   502    1   3   0  95
 44  396   0 3851    26    0   44    0   15  133    0   446    1   3   0  96
 45  731   0 12756    54    1   91    0   29  358    0  1405    2   7   0  90
 46 2736   0 51434   189    8  342    2  101 1107    0  4922   10  28   0  63
 47  510   0 11969    44    1   93    0   26  259    0  1097    2   6   0  92
 48 1296   0 24316   133    6  227    2   53  433    0  2910    5  14   0  81
 49  427   0 21227    52    2   88    0   15  170    0  1424    1   6   0  93
 50   90   0 8234    19    1   28    0    6   66    0   407    0   1   0  98
 51   81   0 6097    26    0   35    0    5   82    0   572    1   1   0  98
 52  307   0 1599    13    0   18    0    7  111    0   295    1   3   0  96
 53   34   0 1578     8    0    9    0    3    9    0   170    0   0   0  99
 54  196   0 9838    27    1   41    0   13   54    0   611    0   2   0  97
 55  582   0 8404    50    2   64    6   24  199    0  7122   66  19   0  15
